rsv$ query identifier$ p@5$ p@10$ recall$ f_measure$ precision interpolation
scalar$ 1$ None$ None$ 0.9130434782608695$ 0.06319981011284567$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 2$ None$ None$ 0.8846153846153846$ 0.051645916540933395$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 3$ 1.0, 0.4$ 1.0, 0.4, 0.5, 0.5714285714285714$ 0.9545454545454546$ 0.34262133834134323$ 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 4$ None$ None$ 0.875$ 0.0740156557134673$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 5$ None$ None$ 0.9583333333333334$ 0.08460314624504693$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 6$ None$ None$ 1.0$ 0.05128205128205127$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 7$ None$ None$ 1.0$ 0.019437724172964205$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 8$ None$ None$ 1.0$ 0.030322824278536498$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 9$ 0.5$ 0.5, 0.2$ 0.9117647058823529$ 0.1433641740756228$ 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 10$ 1.0$ 1.0, 0.2$ 1.0$ 0.17150921027470653$ 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 11$ 1.0, 0.5$ 1.0, 0.5, 0.3$ 0.9763779527559056$ 0.36198682941986826$ 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 12$ None$ 0.125$ 0.7692307692307693$ 0.05906885923692511$ 0.125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 13$ 0.5$ 0.5, 0.2$ 0.9340659340659341$ 0.2541539784787738$ 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 14$ None$ None$ 0.6666666666666666$ 0.006217902620090507$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 15$ None$ None$ 0.9146341463414634$ 0.1008228481283752$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 16$ None$ None$ 1.0$ 0.09136528031932327$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scalar$ 17$ None$ None$ 0.9230769230769231$ 0.05040942033774897$ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
